<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20200101,000000,69.6040000,69.6510000,68.8820000,69.3105000,285
EURRUB,D,20200102,000000,69.4110000,69.7020000,68.8450000,68.8580000,61330
EURRUB,D,20200103,000000,68.9200000,69.4140000,68.8140000,69.2860000,96527
EURRUB,D,20200105,000000,69.2395000,69.7908000,69.2180000,69.3302000,308
EURRUB,D,20200106,000000,69.3310000,69.5940000,69.0330000,69.1240000,117117
EURRUB,D,20200107,000000,69.1240000,69.3293000,68.8330000,69.1140000,74587
EURRUB,D,20200108,000000,69.1120000,69.2970000,67.7980000,68.0490000,111930
EURRUB,D,20200109,000000,68.0480000,68.2300000,67.7440000,68.0100000,117213
EURRUB,D,20200110,000000,68.1080000,68.1300000,67.5900000,67.8650000,124355
EURRUB,D,20200112,000000,67.8396000,68.0090000,67.7510000,67.9010000,685
EURRUB,D,20200113,000000,67.9640000,68.3680000,67.6600000,68.0500000,92685
EURRUB,D,20200114,000000,68.1690000,68.4900000,68.0030000,68.2891000,98047
EURRUB,D,20200115,000000,68.3040000,68.8520000,68.1820000,68.3530000,94633
EURRUB,D,20200116,000000,68.4570000,68.8940000,68.2340000,68.6090000,97785
EURRUB,D,20200117,000000,68.6781000,68.7200000,68.0570000,68.2790000,98881
EURRUB,D,20200119,000000,68.2930000,68.3130000,68.1790000,68.2110000,1261
EURRUB,D,20200120,000000,68.2970000,68.4170000,68.0840000,68.2660000,85582
EURRUB,D,20200121,000000,68.3620000,68.7720000,68.2170000,68.5930000,99258
EURRUB,D,20200122,000000,68.6030000,68.8188000,68.3320000,68.5780000,94890
EURRUB,D,20200123,000000,68.6930000,68.7940000,68.3526000,68.3710000,96632
EURRUB,D,20200124,000000,68.4550000,68.6590000,68.0360000,68.5190000,95962
EURRUB,D,20200126,000000,68.6322000,68.6890000,68.4730000,68.4920000,1156
EURRUB,D,20200127,000000,68.5990000,69.4830000,68.4640000,69.3510000,95728
EURRUB,D,20200128,000000,69.3480000,69.5400000,68.4390000,68.5924000,101870
EURRUB,D,20200129,000000,68.6040000,69.1200000,68.4110000,68.7790000,100598
EURRUB,D,20200130,000000,68.7790000,70.0750000,68.7650000,69.7249000,105735
EURRUB,D,20200131,000000,69.7370000,71.0160000,69.4290000,70.9840000,105847
EURRUB,D,20200202,000000,70.7880000,71.0350000,70.7790000,70.9006000,432
EURRUB,D,20200203,000000,70.9180000,70.9688000,70.0560000,70.3450000,106805
EURRUB,D,20200204,000000,70.3650000,70.4770000,69.3290000,69.4722000,110091
EURRUB,D,20200205,000000,69.4970000,69.8810000,68.8300000,69.0570000,106559
EURRUB,D,20200206,000000,69.0580000,69.7190000,68.7870000,69.4210000,107274
EURRUB,D,20200207,000000,69.5090000,70.4585000,69.3270000,70.2210000,110233
EURRUB,D,20200209,000000,70.1750000,70.4230000,69.9540000,70.0637000,427
EURRUB,D,20200210,000000,70.1978000,70.2650000,69.6455000,69.9040000,102237
EURRUB,D,20200211,000000,69.8239000,69.9660000,69.0020000,69.0629000,102795
EURRUB,D,20200212,000000,69.0730000,69.2060000,68.5421000,68.8283000,105171
EURRUB,D,20200213,000000,68.8253000,69.4140000,68.6247000,68.8112000,103377
EURRUB,D,20200214,000000,68.9585000,69.0220000,68.6347000,68.7860000,98323
EURRUB,D,20200216,000000,68.7460000,68.9820000,68.5475000,68.7886000,410
EURRUB,D,20200217,000000,68.7886000,69.1360000,68.4541000,68.8948000,78701
EURRUB,D,20200218,000000,68.8923000,69.4125000,68.6201000,68.9132000,96386
EURRUB,D,20200219,000000,68.7984000,69.0180000,68.4617000,68.7009000,101602
EURRUB,D,20200220,000000,68.6985000,69.3821000,68.5013000,69.1183000,107575
EURRUB,D,20200221,000000,69.1180000,69.9650000,69.0749000,69.5080000,113344
EURRUB,D,20200223,000000,69.4970000,69.7140000,68.6650000,69.6157000,1607
EURRUB,D,20200224,000000,69.6139000,71.2523000,69.5247000,70.9094000,83210
EURRUB,D,20200225,000000,70.9087000,71.2995000,70.1551000,71.0346000,95118
EURRUB,D,20200226,000000,70.9502000,71.5575000,70.5302000,71.2477000,104640
EURRUB,D,20200227,000000,71.1503000,73.0880000,71.1424000,72.9077000,88303
EURRUB,D,20200228,000000,72.8406000,74.7150000,72.6775000,73.5890000,95086
EURRUB,D,20200301,000000,73.7760000,74.2822000,73.6045000,74.1315000,368
EURRUB,D,20200302,000000,74.1167000,74.9950000,73.1978000,73.9230000,99245
EURRUB,D,20200303,000000,73.8000000,74.1780000,73.0135000,73.8615000,332142
EURRUB,D,20200304,000000,73.8622000,74.0591000,72.8260000,73.6611000,325489
EURRUB,D,20200305,000000,73.6611000,76.0290000,73.4053000,75.8025000,362811
