<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD000TOM,D,20200103,000000,1.1168700,1.1180000,1.1126600,1.1157500,12262000
EURUSD000TOM,D,20200106,000000,1.1157100,1.1206900,1.1157100,1.1196500,5512000
EURUSD000TOM,D,20200108,000000,1.1149800,1.1154400,1.1109000,1.1113000,12694000
EURUSD000TOM,D,20200109,000000,1.1109700,1.1117000,1.1092000,1.1106100,29646000
EURUSD000TOM,D,20200110,000000,1.1109400,1.1125500,1.1086000,1.1121000,32551000
EURUSD000TOM,D,20200113,000000,1.1124600,1.1145000,1.1114500,1.1136500,54406000
EURUSD000TOM,D,20200114,000000,1.1140000,1.1143400,1.1105000,1.1127500,76665000
EURUSD000TOM,D,20200115,000000,1.1135000,1.1161400,1.1120000,1.1150000,35650000
EURUSD000TOM,D,20200116,000000,1.1149900,1.1170000,1.1126500,1.1135500,28510000
EURUSD000TOM,D,20200117,000000,1.1140500,1.1140500,1.1087000,1.1093500,33439000
EURUSD000TOM,D,20200120,000000,1.1098100,1.1103400,1.1077000,1.1094000,18689000
EURUSD000TOM,D,20200121,000000,1.1092000,1.1117500,1.1085000,1.1089500,38012000
EURUSD000TOM,D,20200122,000000,1.1080800,1.1093500,1.1070000,1.1090000,54215000
EURUSD000TOM,D,20200123,000000,1.1086600,1.1105000,1.1035000,1.1054000,65896000
EURUSD000TOM,D,20200124,000000,1.1048200,1.1067500,1.1018000,1.1027000,28885000
EURUSD000TOM,D,20200127,000000,1.1027000,1.1036000,1.1010000,1.1017000,41440000
EURUSD000TOM,D,20200128,000000,1.1018000,1.1022300,1.0998000,1.1018400,38643000
EURUSD000TOM,D,20200129,000000,1.1011400,1.1020000,1.0992400,1.1008000,19227000
EURUSD000TOM,D,20200130,000000,1.1008500,1.1037000,1.1006900,1.1033000,25648000
EURUSD000TOM,D,20200131,000000,1.1018000,1.1090900,1.1018000,1.1089500,29747000
