<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20200101,000000,61.9320000,61.9593000,61.3142000,61.8564000,556
USDRUB,D,20200102,000000,61.7947000,62.2040000,61.5390000,61.6750000,64711
USDRUB,D,20200103,000000,61.7072000,62.2355000,61.6473000,62.0933000,367038
USDRUB,D,20200105,000000,61.8000000,62.5115000,61.8000000,62.1626000,533
USDRUB,D,20200106,000000,62.0765000,62.3600000,61.6780000,61.8106000,435584
USDRUB,D,20200107,000000,61.8165000,62.1176000,61.5600000,62.0155000,82234
USDRUB,D,20200108,000000,62.0419000,62.1320000,61.0226000,61.2710000,568926
USDRUB,D,20200109,000000,61.3042000,61.4021000,61.0620000,61.2910000,533580
USDRUB,D,20200110,000000,61.2832000,61.3821000,60.8300000,61.0140000,613201
USDRUB,D,20200112,000000,61.0050000,61.1703000,60.9395000,61.1254000,463
USDRUB,D,20200113,000000,61.1411000,61.3960000,60.8313000,61.2220000,564195
USDRUB,D,20200114,000000,61.2222000,61.5220000,61.0795000,61.3686000,515127
USDRUB,D,20200115,000000,61.3946000,61.8059000,61.2900000,61.3660000,539590
USDRUB,D,20200116,000000,61.3609000,61.7629000,61.2486000,61.6375000,487638
USDRUB,D,20200117,000000,61.6690000,61.6923000,61.2382000,61.5550000,542712
USDRUB,D,20200119,000000,61.5300000,61.5818000,61.5020000,61.5350000,923
USDRUB,D,20200120,000000,61.5451000,61.6410000,61.3315000,61.5942000,360446
USDRUB,D,20200121,000000,61.5915000,61.9696000,61.5175000,61.8736000,403843
USDRUB,D,20200122,000000,61.8737000,62.0710000,61.7210000,61.8956000,430855
USDRUB,D,20200123,000000,61.9336000,62.0900000,61.7808000,61.9160000,416728
USDRUB,D,20200124,000000,61.9236000,62.2893000,61.6722000,62.0733000,512917
USDRUB,D,20200126,000000,62.0570000,62.2822000,62.0570000,62.2178000,408
USDRUB,D,20200127,000000,62.2121000,63.1119000,62.0799000,62.9190000,784737
USDRUB,D,20200128,000000,62.9136000,63.1395000,62.1014000,62.2383000,741592
USDRUB,D,20200129,000000,62.2856000,62.8186000,62.1740000,62.5167000,609756
USDRUB,D,20200130,000000,62.5269000,63.5076000,62.4900000,63.2212000,742730
USDRUB,D,20200131,000000,63.2089000,64.0175000,62.9932000,63.9510000,773186
USDRUB,D,20200202,000000,63.9690000,64.0530000,63.8695000,63.9360000,373
USDRUB,D,20200203,000000,63.9511000,64.0986000,63.3610000,63.6730000,985962
USDRUB,D,20200204,000000,63.6741000,63.7100000,62.7870000,62.9070000,865521
USDRUB,D,20200205,000000,62.9294000,63.2854000,62.4963000,62.8530000,1088143
USDRUB,D,20200206,000000,62.8628000,63.4286000,62.5820000,63.2900000,863355
USDRUB,D,20200207,000000,63.2994000,64.2560000,63.1766000,64.1390000,997463
USDRUB,D,20200209,000000,64.1640000,64.3306000,63.9038000,64.1119000,438
USDRUB,D,20200210,000000,64.1118000,64.2997100,63.5800000,64.0880000,987335
USDRUB,D,20200211,000000,64.0790000,64.1250000,63.1825000,63.3490000,926542
USDRUB,D,20200212,000000,63.3290000,63.3660000,62.8575000,63.2970000,678502
USDRUB,D,20200213,000000,63.2972000,63.7867000,63.1870000,63.6080000,723677
USDRUB,D,20200214,000000,63.6120000,63.6640000,63.3310000,63.4940000,608229
USDRUB,D,20200216,000000,63.4940000,63.9050000,63.3109000,63.4500000,347
USDRUB,D,20200217,000000,63.4540000,63.8120000,63.1550000,63.5722000,397288
USDRUB,D,20200218,000000,63.5722000,64.1991000,63.4310000,63.8460000,586823
USDRUB,D,20200219,000000,63.8190000,63.9340000,63.3875000,63.5680000,598126
USDRUB,D,20200220,000000,63.5607000,64.3014000,63.4740000,64.1620000,651807
USDRUB,D,20200221,000000,64.1460000,64.5646000,63.8440000,64.0455000,762121
USDRUB,D,20200223,000000,64.0913000,64.4400000,63.4250000,64.2875000,599
USDRUB,D,20200224,000000,64.2878000,65.8220000,64.2670000,65.3565000,141056
USDRUB,D,20200225,000000,65.2850000,65.6016000,64.6325000,65.3039000,844934
USDRUB,D,20200226,000000,65.2995000,65.7181100,64.9075000,65.4650000,939273
USDRUB,D,20200227,000000,65.4650000,66.4620000,65.3625000,66.3084000,872056
USDRUB,D,20200228,000000,66.3236000,67.6421700,66.2570000,66.7112000,750452
USDRUB,D,20200301,000000,66.7287000,67.2514000,66.6200000,67.0476000,810
USDRUB,D,20200302,000000,67.0486000,67.3300000,66.0175000,66.3840000,872476
USDRUB,D,20200303,000000,66.3810000,66.6661700,65.2785000,66.1911000,799609
USDRUB,D,20200304,000000,66.1900000,66.5373000,65.4366000,66.1960000,789735
USDRUB,D,20200305,000000,66.1962000,67.7796000,65.9600000,67.5510000,962976
USDRUB,D,20200306,000000,67.5610000,68.6610000,67.2300000,68.5302000,1015763
USDRUB,D,20200308,000000,68.5685000,72.5037000,68.5410000,72.0424000,2429
USDRUB,D,20200309,000000,72.0318000,76.2129000,71.9052600,74.4604000,60988
USDRUB,D,20200310,000000,74.4481000,74.6323000,70.6067000,71.2490000,576160
USDRUB,D,20200311,000000,71.2490000,73.4200000,70.4610000,72.4516000,522646
USDRUB,D,20200312,000000,72.4690000,75.5130000,72.4518000,74.9831000,543743
USDRUB,D,20200313,000000,74.9812000,75.1145000,71.9789000,72.4305000,647300
USDRUB,D,20200315,000000,72.2650000,73.8610000,71.8686000,73.2638000,4420
USDRUB,D,20200316,000000,73.1902000,75.4620000,72.4433000,74.2693000,644515
USDRUB,D,20200317,000000,74.2696000,75.4773100,73.3280000,75.1251000,721079
USDRUB,D,20200318,000000,75.1223000,82.8930000,74.7140000,81.0824000,556834
USDRUB,D,20200319,000000,80.6140000,82.3100000,78.4715600,78.9120000,396986
USDRUB,D,20200320,000000,78.9040000,80.1638100,77.3439100,80.0139000,473775
USDRUB,D,20200322,000000,79.6650000,80.9192000,79.4116000,80.4783000,1413
USDRUB,D,20200323,000000,80.4785000,81.3730000,78.8540000,79.3661000,627693
USDRUB,D,20200324,000000,79.4030000,79.6174000,77.9010000,78.2055000,436409
USDRUB,D,20200325,000000,77.9950000,79.4170000,76.8997000,78.3037000,730627
USDRUB,D,20200326,000000,78.1400000,79.0400000,76.9352000,77.3360000,759623
USDRUB,D,20200327,000000,77.3348000,79.3013400,77.0740000,78.7206000,704624
USDRUB,D,20200329,000000,78.8150000,79.5729000,78.5638000,79.4896000,2542
USDRUB,D,20200330,000000,79.4952000,80.7651000,79.0690000,79.6015000,672712
USDRUB,D,20200331,000000,79.6024000,79.7709000,77.6340000,78.3620000,697891
USDRUB,D,20200401,000000,78.4792000,79.3700000,78.1440000,78.6360000,598737
USDRUB,D,20200402,000000,78.7933000,79.2400000,76.9590000,76.9690000,639312
USDRUB,D,20200403,000000,77.1273000,77.9050000,76.3410000,76.4500000,792198
USDRUB,D,20200405,000000,76.8400000,77.2419000,76.3416000,77.0420000,1040
USDRUB,D,20200406,000000,77.0700000,77.4042000,75.7590000,75.9684000,644757
USDRUB,D,20200407,000000,75.9677000,76.0447000,75.0300000,75.3916000,672192
USDRUB,D,20200408,000000,75.3999000,76.1050000,74.8170000,75.0788000,547097
USDRUB,D,20200409,000000,75.0790000,75.1953000,72.6330000,74.3788000,771148
USDRUB,D,20200410,000000,74.3786000,74.5050000,73.1055000,73.7331000,516499
USDRUB,D,20200412,000000,73.7194000,74.1592000,73.1400000,73.1600000,1156
USDRUB,D,20200413,000000,73.1900000,74.4192000,72.6054000,72.8910000,680307
USDRUB,D,20200414,000000,73.3796000,73.6151000,72.6535000,73.0270000,568269
USDRUB,D,20200415,000000,73.0186000,75.3363000,72.7130000,74.9255000,998705
USDRUB,D,20200416,000000,74.9241000,75.0321400,73.5400000,73.6675000,915663
USDRUB,D,20200417,000000,73.6440000,74.4120000,72.9525400,73.8420000,805842
USDRUB,D,20200419,000000,74.0478000,74.1618000,73.2804000,74.0941000,1203
USDRUB,D,20200420,000000,73.9570000,75.5715000,73.7026000,75.4889000,1249853
USDRUB,D,20200421,000000,75.4723000,77.6420700,75.0140000,77.1376000,1432766
USDRUB,D,20200422,000000,77.1381000,77.7254000,74.7071000,75.8681000,1266892
USDRUB,D,20200423,000000,75.8715000,76.0834000,74.1732000,74.7168000,1128715
USDRUB,D,20200424,000000,74.7166000,75.1117000,73.8991000,74.4251000,1043704
USDRUB,D,20200426,000000,74.5516000,74.8342000,74.1754000,74.2767000,864
USDRUB,D,20200427,000000,74.3690000,74.8031100,73.8633000,74.4238000,863311
USDRUB,D,20200428,000000,74.4209000,74.8628100,73.7010000,74.2250000,1089787
USDRUB,D,20200429,000000,74.2462000,74.4062000,72.9050000,73.0907000,815796
